codigo;nombre;apellido;correo;genero
202014;Guillermo;Peitzner;guille@gmail.com;m
202015;Ingrid;Perez;ingrid@gmail.com;f
202016;Manuel;Castillo;manuel@gmail.com;m
202017;Maria;Molina;maria@gmail.com;f
202018;Maria;Molina;maria@gmail.com;f
202019;Maria;Molina;maria@gmail.com;f
202020;Maria;Molina;maria@gmail.com;f
202021;Maria;Molina;maria@gmail.com;f
202022;Maria;Molina;maria@gmail.com;f
202023;Maria;Molina;maria@gmail.com;f
202024;Maria;Molina;maria@gmail.com;f
202025;Maria;Molina;maria@gmail.com;f
202026;Maria;Molina;maria@gmail.com;f
202027;Maria;Molina;maria@gmail.com;f
202028;Maria;Molina;maria@gmail.com;f
202029;Maria;Molina;maria@gmail.com;f
202030;Maria;Molina;maria@gmail.com;f
202031;Maria;Molina;maria@gmail.com;f
202032;Maria;Molina;maria@gmail.com;f
202033;Maria;Molina;maria@gmail.com;f
